rho,UV,fin,ren
0.5,0.0016034417470768795,-0.3034815420922133,-0.3018781003451364
1.0,0.003206883494153759,-0.14829397619937526,-0.1450870927052215
1.5,0.004810325241230638,-0.098854288122083,-0.09404396288085236
2.0,0.006413766988307518,-0.07413847443214798,-0.06772470744384046
3.0,0.009620650482461275,-0.049422673094989863,-0.03980202261252859
4.0,0.012827533976615036,-0.037064772624931484,-0.02423723864831645
5.0,0.016034417470768794,-0.02965003249383919,-0.013615615023070397
7.0,0.02244818445907631,-0.021176044095989527,0.0012721403630867843
10.0,0.03206883494153759,-0.01482055336341894,0.017248281578118647
15.0,0.04810325241230638,-0.009877394910261015,0.038225857502045366
20.0,0.06413766988307518,-0.007405816625873059,0.05673185325720212
